id,key,value,type
62957370,source,massgis_import_v0.1_20071009085127,regular
62957370,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957499,source,massgis_import_v0.1_20071009085127,regular
62957499,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957508,source,massgis_import_v0.1_20071009085127,regular
62957508,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957645,source,massgis_import_v0.1_20071009085127,regular
62957726,source,massgis_import_v0.1_20071009085127,regular
62957726,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957775,source,massgis_import_v0.1_20071009085127,regular
62957775,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957802,source,massgis_import_v0.1_20071009085127,regular
62957802,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957834,source,massgis_import_v0.1_20071009085127,regular
62957834,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957835,source,massgis_import_v0.1_20071009085127,regular
62957857,source,massgis_import_v0.1_20071009085127,regular
62957871,source,massgis_import_v0.1_20071009085127,regular
62957871,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958056,source,massgis_import_v0.1_20071009085127,regular
62958056,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958119,source,massgis_import_v0.1_20071009085127,regular
62958161,source,massgis_import_v0.1_20071009085127,regular
62958161,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958182,source,massgis_import_v0.1_20071009085127,regular
62958182,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958221,source,massgis_import_v0.1_20071009085127,regular
62958221,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958277,source,massgis_import_v0.1_20071009085127,regular
62958277,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958339,source,massgis_import_v0.1_20071009085127,regular
62958339,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958465,source,massgis_import_v0.1_20071009085127,regular
62958465,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958472,source,massgis_import_v0.1_20071009085127,regular
62958472,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958591,source,massgis_import_v0.1_20071009085127,regular
62958591,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62958643,source,massgis_import_v0.1_20071009085127,regular
62958643,attribution,Office of Geographic and Environmental Information (MassGIS),regular
